식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D101-002140000-0001,국밥_돼지머리,D,음식,1,가정식(분석 함량),1,밥류,1002,국밥,100214,돼지머리,10021400,해당없음,0,해당없음,100g,137,71.6,6.7,5.16,0.63,15.94,0.16,0.7,9,0.24,24,47,181,5,0,61,0.09,0.053,0,0.04,0,23.82,1.47,0.03,3,식품의약품안전처,900g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-002260000-0001,국밥_순대국밥,D,음식,1,가정식(분석 함량),1,밥류,1002,국밥,100226,순대국밥,10022600,해당없음,0,해당없음,100g,75,83.7,3.17,2.28,0.48,10.38,0.17,1.3,9,0.67,31,34,126,5,0,55,0.062,0.024,0,0.21,0,48.69,1.26,0.01,3,식품의약품안전처,900g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-002410000-0001,국밥_콩나물,D,음식,1,가정식(분석 함량),1,밥류,1002,국밥,100241,콩나물,10024100,해당없음,0,해당없음,100g,52,86.8,1.45,0.24,0.56,10.93,0,1.2,6,0.18,16,42,172,2,0,22,0.14,0.022,0.173,1.26,0,0,0.12,0,3,식품의약품안전처,780g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-003000000-0001,기장밥,D,음식,1,가정식(분석 함량),1,밥류,1003,기장밥,100300,해당없음,10030000,해당없음,0,해당없음,100g,166,59.1,3.44,0.57,0.15,36.77,0,1.5,4,0.33,28,25,1,0,0,0,0,0.005,0.205,0.29,0,0,0.08,0,3,식품의약품안전처,200g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-004000000-0001,김밥,D,음식,1,가정식(분석 함량),1,밥류,1004,김밥,100400,해당없음,10040000,해당없음,0,해당없음,100g,140,69.5,4.84,4.55,1.11,19.98,0,1.4,36,0.3,55,118,307,113,3,1318,0.157,0.043,0.674,3.76,0,19.3,1.1,0.02,3,식품의약품안전처,230g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-004060000-0001,김밥_김치,D,음식,1,가정식(분석 함량),1,밥류,1004,김밥,100406,김치,10040600,해당없음,0,해당없음,100g,130,71.2,4.3,4.03,1.29,19.17,0.29,1.8,44,0.31,64,126,349,41,8,392,0.207,0.044,0,3.43,0,47.38,1.06,0.02,3,식품의약품안전처,270g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-004080000-0001,김밥_날치알,D,음식,1,가정식(분석 함량),1,밥류,1004,김밥,100408,날치알,10040800,해당없음,0,해당없음,100g,177,59.8,6.1,4.26,1.13,28.66,1.43,2.1,20,0.62,82,118,299,61,15,559,0.204,0.058,0.769,0.78,0,55.15,1.2,0.03,3,식품의약품안전처,260g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-004110000-0001,김밥_돈가스,D,음식,1,가정식(분석 함량),1,밥류,1004,김밥,100411,돈가스,10041100,해당없음,0,해당없음,100g,202,55.8,5.77,5.81,0.95,31.64,1.33,2.1,15,0.49,74,134,241,22,0,259,0.091,0.059,0,0.18,0,6.52,1.07,0.04,3,식품의약품안전처,320g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-004250000-0001,김밥_쇠고기,D,음식,1,가정식(분석 함량),1,밥류,1004,김밥,100425,쇠고기,10042500,해당없음,0,해당없음,100g,179,61.2,6.46,5.56,1,25.78,0.03,1.5,30,0.87,64,96,267,35,9,318,0.092,0.056,0,2.74,0,39.04,1.6,0.17,3,식품의약품안전처,250g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-004370000-0001,김밥_참치,D,음식,1,가정식(분석 함량),1,밥류,1004,김밥,100437,참치,10043700,해당없음,0,해당없음,100g,174,64.2,7,7.22,1.32,20.26,0.71,1.8,51,0.72,73,123,335,66,10,680,0.228,0.068,0,3.06,0,33.45,1.4,0.04,3,식품의약품안전처,250g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-004390000-0001,김밥_채소,D,음식,1,가정식(분석 함량),1,밥류,1004,김밥,100439,채소,10043900,해당없음,0,해당없음,100g,158,63.8,4.6,3.65,1.28,26.65,0.14,3.4,38,0.44,69,164,309,160,5,1851,0.321,0.071,1.061,1.81,0,29.93,0.99,0.02,3,식품의약품안전처,280g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-004400000-0001,김밥_치즈,D,음식,1,가정식(분석 함량),1,밥류,1004,김밥,100440,치즈,10044000,해당없음,0,해당없음,100g,177,63.3,6.24,7.03,1.33,22.1,0.21,2.6,6,0.21,15,41,169,58,13,532,0.356,0.074,0,2.15,0,35.07,2.43,0.13,3,식품의약품안전처,270g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-004430000-0001,김밥_풋고추,D,음식,1,가정식(분석 함량),1,밥류,1004,김밥,100443,풋고추,10044300,해당없음,0,해당없음,100g,169,61.9,4.88,4.41,1.32,27.52,0.09,3.3,19,0.49,70,148,327,104,10,1117,0.145,0.079,1.145,2.92,0,37.81,1.24,0.03,3,식품의약품안전처,290g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-006070000-0001,덮밥_낙지,D,음식,1,가정식(분석 함량),1,밥류,1006,덮밥,100607,낙지,10060700,해당없음,0,해당없음,100g,150,65.9,5.88,3.34,0.8,24.12,2.16,2.3,15,0.36,47,95,212,9,0,105,0,0.069,0,0.81,0,32.45,0.37,0.01,3,식품의약품안전처,350g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
