식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),포화지방산(g),트랜스지방산(g)
국밥_돼지머리,137,15.94,6.7,5.16,1.47,0.03
국밥_순대국밥,75,10.38,3.17,2.28,1.26,0.01
국밥_콩나물,52,10.93,1.45,0.24,0.12,0.0
기장밥,166,36.77,3.44,0.57,0.08,0.0
김밥,140,19.98,4.84,4.55,1.1,0.02
김밥_김치,130,19.17,4.3,4.03,1.06,0.02
김밥_날치알,177,28.66,6.1,4.26,1.2,0.03
김밥_돈가스,202,31.64,5.77,5.81,1.07,0.04
김밥_쇠고기,179,25.78,6.46,5.56,1.6,0.17
김밥_참치,174,20.26,7.0,7.22,1.4,0.04
김밥_채소,158,26.65,4.6,3.65,0.99,0.02
김밥_치즈,177,22.1,6.24,7.03,2.43,0.13
김밥_풋고추,169,27.52,4.88,4.41,1.24,0.03
덮밥_낙지,150,24.12,5.88,3.34,0.37,0.01
덮밥_닭고기,125,14.82,11.4,2.18,0.79,0.01
덮밥_돼지고기(제육),202,16.86,9.43,10.77,3.42,0.05
덮밥_불고기,182,26.96,6.6,5.31,1.4,0.24
덮밥_오징어,135,21.94,7.18,2.01,0.24,0.0
보리밥,161,36.77,2.9,0.24,0.1,0.0
볶음밥,183,33.97,5.56,2.76,1.1,0.03
볶음밥_계란,225,24.23,6.62,11.28,2.2,0.05
볶음밥_김치,167,15.74,5.32,9.18,1.43,0.04
볶음밥_새우,172,22.85,6.31,6.14,1.19,0.03
볶음밥_쇠고기,176,21.76,7.59,6.48,1.47,0.07
볶음밥_참치,180,32.9,4.62,3.27,0.49,0.02
볶음밥_채소,182,28.74,4.72,5.39,0.84,0.02
볶음밥_표고버섯,184,31.79,3.36,4.81,0.5,0.02
비빔밥,142,18.84,6.86,4.32,0.95,0.06
비빔밥_육회,147,22.92,6.39,3.36,0.77,0.01
비빔밥_돌솥,147,24.68,5.39,2.95,0.33,0.01
삼각김밥_참치마요네즈,199,25.45,5.93,8.21,1.0,0.03
수수밥,161,35.02,3.16,0.92,0.13,0.0
알밥,128,15.75,4.73,5.11,0.59,0.03
영양돌솥밥,184,36.06,3.43,2.87,0.61,0.01
오므라이스,173,20.54,6.5,7.23,1.38,0.02
자장밥,122,15.57,4.27,4.72,0.58,0.01
잡곡밥,146,29.33,5.3,0.87,0.22,0.0
잡채밥,150,25.79,4.02,3.42,0.41,0.05
주먹밥_쇠고기,178,34.73,4.76,2.18,0.65,0.02
짬뽕밥,72,11.65,3.2,1.4,0.23,0.01
차조밥,157,34.86,2.84,0.65,0.14,0.0
찰밥,153,33.56,4.39,0.18,0.08,0.0
초밥_모듬,160,26.72,9.66,1.59,0.41,0.02
초밥_유부초밥,194,29.82,5.78,5.77,0.69,0.02
카레라이스,108,20.74,3.11,1.4,0.44,0.04
콩나물밥,123,22.39,4.68,1.58,0.42,0.01
콩밥_검정콩,165,34.3,4.53,1.12,0.14,0.0
콩밥_완두콩,138,31.25,2.95,0.16,0.1,0.0
하이라이스,112,21.34,4.02,1.13,0.13,0.0
현미밥,172,38.9,3.1,0.47,0.18,0.0
회덮밥_모듬,145,17.76,9.1,4.15,0.85,0.03
도넛_링도넛,515,46.16,7.85,33.17,4.49,0.25
도넛_찹쌀,288,55.56,6.0,4.64,0.64,0.03
마늘빵,438,57.94,12.06,17.58,8.66,0.18
머핀,384,59.15,5.73,13.84,6.86,0.15
모닝빵,314,52.17,9.5,7.43,3.03,0.06
모카빵,339,57.96,8.55,8.05,3.76,0.31
베이글,306,53.48,10.0,5.83,0.58,0.01
샌드위치_닭가슴살,240,20.96,12.18,11.92,3.16,0.17
샌드위치_모듬,193,8.44,9.5,13.44,3.63,0.07
샌드위치_참치,202,13.78,10.54,11.65,2.64,0.2
샌드위치_채소,244,23.82,4.08,14.75,2.88,0.06
샌드위치_햄_달걀,220,15.64,12.44,11.92,3.45,0.16
소보로빵,392,55.63,8.27,15.13,6.39,0.57
식빵,264,50.91,9.34,2.6,1.47,0.11
초코소라빵,319,51.76,3.29,10.93,4.34,0.03
츄러스,361,58.17,6.6,11.29,2.44,0.19
카스텔라,335,47.99,10.03,11.47,1.14,0.01
케이크_롤케이크,312,44.01,7.36,11.83,1.82,0.03
케이크_생크림케이크,237,27.62,3.45,12.54,8.52,0.08
크로아상,446,43.31,7.52,26.98,9.75,0.27
파이_사과파이,185,34.83,2.54,3.91,1.95,0.17
페이스트리,466,41.5,8.31,29.66,15.31,0.2
피자_콤비네이션피자,274,25.54,10.68,14.36,3.84,0.08
피자빵,298,31.76,8.85,15.05,4.92,0.25
햄버거,264,21.67,12.85,13.98,4.42,0.35
햄버거_불고기버거,250,22.68,13.88,11.52,4.34,0.38
호떡_견과류,314,57.12,5.41,7.07,0.89,0.05
간자장,125,15.13,5.12,4.89,0.8,0.03
국수_막국수,133,23.9,5.8,1.61,0.46,0.02
국수_비빔국수,102,20.47,3.01,0.95,0.2,0.0
국수_잔치국수,44,8.05,1.93,0.49,0.16,0.0
국수_쟁반막국수,119,12.81,6.68,4.56,0.88,0.04
초밥_한치,150,31.17,5.48,0.34,0.18,0.0
냉면_물냉면,55,10.31,1.96,0.64,0.16,0.0
냉면_비빔냉면,100,13.35,5.67,2.64,0.54,0.01
냉면_회냉면_홍어,148,22.21,5.81,4.02,0.27,0.0
떡국,84,16.37,3.43,0.53,0.24,0.0
떡만두국,111,15.47,3.53,3.91,0.57,0.02
라면,82,13.65,1.72,2.28,0.82,0.01
라면_달걀,108,17.33,2.61,3.18,1.35,0.02
라면_떡,96,15.27,2.04,2.92,1.0,0.01
만두_고기만두,159,17.4,12.38,4.45,0.61,0.02
만두_군만두,234,25.57,7.03,11.5,3.28,0.06
만두_김치만두,152,17.02,10.24,4.76,0.1,0.0
만두_물만두,195,15.61,8.06,11.13,3.08,0.05
만두국_사골,87,8.94,3.74,4.0,1.71,0.06
메밀국수_온면,63,12.06,3.14,0.29,0.12,0.0
수제비,58,11.08,2.31,0.52,0.15,0.0
스파게티_미트볼,180,17.62,7.34,8.88,1.44,0.03
우동_일식,158,30.48,1.78,3.22,0.3,0.04
자장면,88,14.37,2.69,2.22,0.38,0.01
짬뽕,58,8.26,2.79,1.54,0.25,0.01
쫄면,129,23.26,3.21,2.52,0.22,0.0
칼국수,77,14.9,3.3,0.49,0.2,0.0
칼국수_바지락,82,15.97,3.43,0.53,0.11,0.0
콩국수,81,8.92,3.9,3.35,0.17,0.0
닭죽,44,7.14,2.68,0.57,0.33,0.01
스프_양송이,105,8.06,2.41,7.04,3.93,0.1
오리죽,155,19.95,7.5,4.99,1.16,0.02
전복죽,79,9.62,1.82,3.73,0.19,0.0
채소죽,43,7.62,1.69,0.69,0.18,0.0
팥죽,81,16.66,3.17,0.19,0.07,0.0
호박죽,49,6.58,1.93,1.71,0.04,0.0
흑임자죽,61,3.64,1.1,4.73,0.28,0.09
갈비탕,54,0.4,8.51,2.06,0.79,0.06
감자국,21,3.67,0.9,0.26,0.03,0.0
곰탕,24,0.11,3.43,1.12,0.41,0.05
곰탕_우거지,25,2.6,2.37,0.6,0.14,0.0
굴국_무,25,2.93,2.41,0.36,0.09,0.0
김치국,23,2.63,1.34,0.76,0.19,0.0
김치국_콩나물,12,1.15,0.82,0.47,0.09,0.0
내장탕,71,1.68,5.82,4.52,1.78,0.01
냉국_미역,37,7.51,0.19,0.67,0.01,0.0
냉국_미역_오이,6,0.85,0.37,0.15,0.01,0.0
달걀국,13,0.69,0.93,0.74,0.27,0.0
달걀탕_순두부,29,0.94,1.78,2.04,0.37,0.0
닭곰탕,51,2.0,7.51,1.42,0.3,0.0
도가니탕,40,0.82,8.35,0.33,0.13,0.01
된장국_감자,25,3.7,1.09,0.6,0.05,0.0
된장국_냉이,22,2.2,1.71,0.66,0.09,0.0
된장국_미역,24,2.28,1.56,0.97,0.07,0.0
된장국_배추,20,2.58,1.46,0.4,0.06,0.0
된장국_시금치,9,0.98,1.02,0.17,0.03,0.0
된장국_시래기,15,2.03,1.31,0.22,0.03,0.0
된장국_쑥,15,1.52,1.22,0.47,0.06,0.0
된장국_아욱,20,1.59,2.28,0.56,0.08,0.0
된장국_얼갈이배추,9,0.85,0.5,0.41,0.02,0.0
된장국_우거지,20,0.82,2.77,0.59,0.13,0.0
된장국_콩나물,31,2.62,2.58,1.11,0.1,0.0
된장국_해물,28,2.68,2.1,0.98,0.13,0.0
된장국_호박,31,1.41,3.34,1.31,0.15,0.0
된장국_호박잎,7,0.54,0.4,0.32,0.02,0.0
매운탕_대구,22,0.19,4.49,0.4,0.15,0.01
무국_쇠고기,15,1.1,1.33,0.64,0.09,0.01
무국_홍합,25,0.86,0.79,2.03,0.01,0.0
묵국_메밀묵,22,3.57,1.0,0.4,0.03,0.0
미역국,12,0.87,0.65,0.61,0.05,0.0
미역국_대합,11,0.56,1.23,0.45,0.16,0.01
미역국_새우,16,1.83,1.09,0.46,0.03,0.0
미역국_쇠고기,13,0.82,1.86,0.26,0.04,0.0
배추국_쇠고기,16,1.14,1.84,0.41,0.09,0.01
북어국,28,0.84,3.89,0.98,0.17,0.0
사골국,55,2.81,5.56,2.42,0.94,0.08
삼계탕,101,3.84,10.68,4.8,1.29,0.03
새우탕,33,2.0,5.17,0.44,0.09,0.0
설렁탕,24,0.36,4.26,0.58,0.23,0.02
순대국,85,14.95,2.35,1.75,0.5,0.01
알탕,39,1.74,6.37,0.74,0.16,0.01
어묵국,31,3.83,1.49,1.03,0.07,0.0
오징어국,18,0.73,2.22,0.73,0.08,0.0
육개장,30,1.49,3.68,0.99,0.17,0.0
육개장_닭고기,20,1.41,2.74,0.42,0.15,0.0
장어탕,67,3.68,4.32,3.91,0.63,0.02
재첩국,23,4.54,0.67,0.29,0.01,0.0
조개국,16,0.25,1.67,0.89,0.05,0.0
콩나물국,6,0.61,0.74,0.09,0.03,0.0
토란국,16,2.61,1.0,0.12,0.04,0.0
해장국_뼈다귀,26,1.06,3.19,0.97,0.21,0.0
해장국_선지,29,1.23,3.86,0.96,0.13,0.0
갈치찌개,38,1.95,5.27,1.0,0.3,0.0
감자탕,71,2.27,6.31,4.06,1.16,0.01
김치전골,73,5.68,3.12,4.23,0.67,0.01
김치찌개_꽁치,89,3.54,7.14,5.18,0.93,0.72
김치찌개_돼지고기,45,1.04,4.25,2.71,0.48,0.01
김치찌개_어묵,38,6.31,1.82,0.59,0.15,0.0
김치찌개_참치,51,2.9,3.59,2.82,0.26,0.03
김치찌개_햄,31,3.17,1.47,1.39,0.45,0.01
꽃게탕,17,1.44,1.86,0.41,0.04,0.0
낙지전골,51,3.72,6.5,1.14,0.33,0.02
동태국,17,1.4,2.42,0.16,0.02,0.0
동태찌개,44,1.72,6.11,1.37,0.2,0.01
돼지고기찌개,48,2.26,6.25,1.51,0.21,0.0
된장찌개,46,4.44,3.38,1.63,0.27,0.0
된장찌개_냉이,19,2.91,1.17,0.31,0.04,0.0
된장찌개_달래,35,3.81,3.18,0.79,0.18,0.0
된장찌개_두부,41,2.56,3.25,1.96,0.28,0.0
된장찌개_바지락,23,1.18,2.88,0.72,0.17,0.0
두부찌개_고추장,52,3.18,4.01,2.63,0.35,0.0
두부찌개_쇠고기_고추장,58,6.73,4.56,1.42,0.28,0.0
두부찌개_쇠고기_된장,55,3.5,5.71,1.98,0.41,0.01
매운탕_해물,35,2.51,4.85,0.64,0.18,0.01
버섯전골,78,4.78,5.14,4.24,0.98,0.11
부대찌개,123,10.27,5.86,6.49,1.68,0.05
샤브샤브_버섯,30,1.57,3.88,0.9,0.62,0.03
샤브샤브_쇠고기,43,1.8,5.38,1.62,0.18,0.0
쇠고기전골,63,0.46,7.89,3.24,0.69,0.15
순두부찌개_김치,35,2.17,2.98,1.59,0.46,0.01
오리백숙,112,0.5,10.59,7.5,1.56,0.05
오리탕,121,6.08,9.5,6.56,1.33,0.04
오징어찌개,34,4.77,3.3,0.22,0.05,0.0
우동_볶음,128,24.79,2.8,2.01,0.49,0.03
청국장찌개,47,1.92,5.03,2.11,0.45,0.01
추어탕,54,3.07,3.24,3.18,0.31,0.01
콩비지찌개,69,3.57,6.74,3.08,0.51,0.01
호박찌개_고추장,41,5.96,2.08,0.99,0.1,0.0
가오리찜,102,0.46,21.99,1.39,0.26,0.0
갈비찜_쇠고기,85,6.95,7.25,3.17,0.85,0.1
감자_찐감자,70,15.01,2.16,0.16,0.03,0.0
고구마_찐고구마,139,32.47,1.67,0.24,0.05,0.01
깻잎찜,97,5.96,5.21,5.86,0.46,0.02
꼬막찜,96,6.97,12.03,2.28,0.59,0.04
꽈리고추찜,104,17.69,3.59,2.09,0.37,0.01
달걀찜_새우젓,58,0.47,4.98,4.04,1.22,0.02
달걀찜_우유,105,3.8,8.23,6.31,2.5,0.09
닭찜,107,0.6,12.37,6.09,0.98,0.02
돼지갈비찜,194,7.44,13.29,12.32,3.68,0.13
사태찜_쇠고기,110,3.67,12.1,5.17,1.13,0.14
수육_쇠고기,166,2.04,28.43,4.94,1.89,0.26
순대,187,35.73,2.75,3.64,1.12,0.02
아귀찜,84,7.26,6.72,3.13,0.48,0.02
애호박찜,181,21.18,9.5,6.48,1.44,0.07
옥수수_찐옥수수,185,34.2,6.68,2.42,0.29,0.0
족발,233,0.93,26.04,13.91,4.66,0.06
코다리찜,94,6.08,14.49,1.35,0.31,0.01
콩나물찜_해물,56,4.97,6.67,1.01,0.21,0.0
풋고추찜,51,8.27,2.31,0.99,0.14,0.0
